date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:49:36	40829/40829	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Oct%202022%2008:46:59%20GMT	https://moviemaker.minitool.com/moviemaker/facebook-cover-photo-maker.html	C:/My%20Web%20Sites/cover/moviemaker.minitool.com/moviemaker/facebook-cover-photo-maker.html	(from )
10:49:37	444/444	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2023%20Apr%202019%2006:14:23%20GMT	https://moviemaker.minitool.com/robots.txt		(from )
10:49:37	89501/89501	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2007%20Jun%202022%2001:44:33%20GMT	https://moviemaker.minitool.com/js/jquery-3.6.0.min.js	C:/My%20Web%20Sites/cover/moviemaker.minitool.com/js/jquery-3.6.0.min.js	(from https://moviemaker.minitool.com/moviemaker/facebook-cover-photo-maker.html)
10:49:37	23544/23544	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20Jun%202022%2001:44:30%20GMT	https://moviemaker.minitool.com/css/article.css?v=20220607094430	C:/My%20Web%20Sites/cover/moviemaker.minitool.com/css/article5d28.css	(from https://moviemaker.minitool.com/moviemaker/facebook-cover-photo-maker.html)
10:49:37	8754/8754	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2007%20Jun%202022%2001:52:28%20GMT	https://moviemaker.minitool.com/js/main.min.js?v=20220607095228	C:/My%20Web%20Sites/cover/moviemaker.minitool.com/js/main.mine486.js	(from https://moviemaker.minitool.com/moviemaker/facebook-cover-photo-maker.html)
10:49:38	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2022%20Oct%202022%2008:49:37%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/cover/www.googletagmanager.com/gtm.45445.delayed	(from https://moviemaker.minitool.com/moviemaker/facebook-cover-photo-maker.html)
10:49:38	80506/80506	---M--	200	added ('OK')	text/javascript	etag:%221371%20/%20289%20of%201000%20/%20last-modified:%201666390018%22	https://securepubads.g.doubleclick.net/tag/js/gpt.js	C:/My%20Web%20Sites/cover/securepubads.g.doubleclick.net/tag/js/gpt.js	(from https://moviemaker.minitool.com/moviemaker/facebook-cover-photo-maker.html)
10:49:38	3371/3371	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Oct%202021%2020:25:06%20GMT	https://moviemaker.minitool.com/images/logo.png	C:/My%20Web%20Sites/cover/moviemaker.minitool.com/images/logo.png	(from https://moviemaker.minitool.com/moviemaker/facebook-cover-photo-maker.html)
10:49:39	1932/1932	---M--	200	added ('OK')	image/png	date:Mon,%2030%20May%202022%2015:52:50%20GMT	https://moviemaker.minitool.com/images/mm-logo.png	C:/My%20Web%20Sites/cover/moviemaker.minitool.com/images/mm-logo.png	(from https://moviemaker.minitool.com/moviemaker/facebook-cover-photo-maker.html)
10:49:39	695/695	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2023%20Apr%202019%2006:14:23%20GMT	https://moviemaker.minitool.com/moviemaker/slideshow-music.html	C:/My%20Web%20Sites/cover/moviemaker.minitool.com/moviemaker/slideshow-music.html	(from https://moviemaker.minitool.com/moviemaker/facebook-cover-photo-maker.html)
10:49:40	695/695	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2023%20Apr%202019%2006:14:23%20GMT	https://moviemaker.minitool.com/moviemaker/	C:/My%20Web%20Sites/cover/moviemaker.minitool.com/moviemaker/index.html	(from https://moviemaker.minitool.com/moviemaker/facebook-cover-photo-maker.html)
10:49:40	695/695	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2023%20Apr%202019%2006:14:23%20GMT	https://moviemaker.minitool.com/moviemaker/sites-like-shutterstock.html	C:/My%20Web%20Sites/cover/moviemaker.minitool.com/moviemaker/sites-like-shutterstock.html	(from https://moviemaker.minitool.com/moviemaker/facebook-cover-photo-maker.html)
10:49:40	695/695	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2023%20Apr%202019%2006:14:23%20GMT	https://moviemaker.minitool.com/moviemaker/video-background.html	C:/My%20Web%20Sites/cover/moviemaker.minitool.com/moviemaker/video-background.html	(from https://moviemaker.minitool.com/moviemaker/facebook-cover-photo-maker.html)
10:49:40	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634ec5bc-4d7%22	https://moviemaker.minitool.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/cover/moviemaker.minitool.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://moviemaker.minitool.com/moviemaker/facebook-cover-photo-maker.html)
10:49:41	9039/9039	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2013%20Jun%202022%2008:35:28%20GMT	https://moviemaker.minitool.com/js/other.min.js?v=20220613163528	C:/My%20Web%20Sites/cover/moviemaker.minitool.com/js/other.min16fe.js	(from https://moviemaker.minitool.com/moviemaker/facebook-cover-photo-maker.html)
